strain,fs_pop
GCA_035067385.1,hsp2
GCA_018120015.1,hsp2
GCA_035182865.1,hsp2
HEL_CA4243AA_AS,hsp2
HEL_BA9963AA_AS,hsp2
HEL_CA6190AA_AS,hsp2
HEL_CA6785AA_AS,hsp2
GCA_013431565.1,hsp2
HEL_CA6035AA_AS,hsp2
GCA_035067465.1,hsp2
GCA_035183205.1,hsp2
HEL_CA4697AA_AS,hsp2
GCA_035067565.1,hsp2
GCA_035067645.1,hsp2
GCA_035066765.1,hsp2
HEL_CA6050AA_AS,hsp2
HEL_CA4104AA_AS,hsp2
GCA_013429225.1,hsp2
GCA_035147585.1,hsp2
GCA_035067405.1,hsp2
HEL_CA0584AA_AS,hsp2
HEL_BA4152AA_AS,hsp2
HEL_BA8953AA_AS,hsp2
HEL_CA5298AA_AS,hsp2
HEL_CA4707AA_AS,hsp2
HEL_CA3125AA_AS,hsp2
GCA_035067425.1,hsp2
HEL_CA3668AA_AS,hsp2
HEL_CA6003AA_AS,hsp2
HEL_CA0614AA_AS,hsp2
GCA_035183345.1,hsp2
GCA_013428595.1,hsp2
HEL_BA9702AA_AS,hsp2
HEL_CA5165AA_AS,hsp2
HEL_CA0044AA_AS,hsp2
HEL_CA3131AA_AS,hsp2
HEL_CA6826AA_AS,hsp2
GCA_018119895.1,hsp2
HEL_CA6068AA_AS,hsp2
GCA_035061425.1,hsp2
HEL_CA0109AA_AS,hsp2
HEL_CA4718AA_AS,hsp2
HEL_CA4687AA_AS,hsp2
HEL_CA5163AA_AS,hsp2
GCA_035183065.1,hsp2
GCA_034710915.1,hsp2
GCA_035182845.1,hsp2
HEL_CA0090AA_AS,hsp2
HEL_CA4678AA_AS,hsp2
GCA_009689875.1,hsp2
HEL_CA0042AA_AS,hsp2
HEL_CA6018AA_AS,hsp2
HEL_CA5900AA_AS,hsp2
HEL_BA8901AA_AS,hsp2
HEL_CA3696AA_AS,hsp2
GCA_013431145.1,hsp2
HEL_CA6811AA_AS,hsp2
HEL_CA4670AA_AS,hsp2
GCA_034783535.1,hsp2
HEL_CA4657AA_AS,hsp2
GCA_013428315.1,hsp2
GCA_013429725.1,hsp2
HEL_CA6019AA_AS,hsp2
HEL_CA4660AA_AS,hsp2
HEL_CA4630AA_AS,hsp2
HEL_CA6729AA_AS,hsp2
HEL_CA6307AA_AS,hsp2
HEL_BA9957AA_AS,hsp2
HEL_CA0088AA_AS,hsp2
HEL_CA5896AA_AS,hsp2
HEL_CA4676AA_AS,hsp2
GCA_009689765.1,hsp2
HEL_BA8927AA_AS,hsp2
GCA_009689865.1,hsp2
HEL_CA4673AA_AS,hsp2
HEL_CA6009AA_AS,hsp2
HEL_CA6740AA_AS,hsp2
HEL_BA9025AA_AS,hsp2
HEL_BA9928AA_AS,hsp2
HEL_CA0113AA_AS,hsp2
HEL_CA4695AA_AS,hsp2
GCA_035061705.1,hsp2
HEL_CA0144AA_AS,hsp2
HEL_CA6287AA_AS,hsp2
HEL_CA0613AA_AS,hsp2
GCA_035067505.1,hsp2
GCA_035183185.1,hsp2
HEL_CA4653AA_AS,hsp2
GCA_035153145.1,hsp2
HEL_CA0630AA_AS,hsp2
HEL_CA0281AA_AS,hsp2
HEL_CA6380AA_AS,hsp2
HEL_CA6430AA_AS,hsp2
HEL_BA9999AA_AS,hsp2
GCA_013427475.1,hsp2
HEL_CA4654AA_AS,hsp2
GCA_035149765.1,hsp2
GCA_035182965.1,hsp2
HEL_CA0587AA_AS,hsp2
HEL_CA4661AA_AS,hsp2
GCA_018328245.1,hsp2
GCA_000023805.1,hsp2
GCA_035067665.1,hsp2
HEL_CA6282AA_AS,hsp2
HEL_CA4108AA_AS,hsp2
