Recipient,hpAfrica1,hpAfrica2,hpAsia2,hpEurope,hpNEAfrica,hpNorthAsia,hpSahul,hpSiberia,hspHAEAsiaN,hspHAEAsiaS,hspLASEAsia,hspLAEAJapan,属性
HEL_AA0357AA_AS,99.190474,24.830368,189.539905,261.078958,78.206297,599.121893,102.89015,547.39166,447.539799,401.132116,441.425555,425.231424,hpNorthAsia
HEL_AA0369AA_AS,54.049573,24.209299,157.812802,194.638622,48.784651,590.084144,98.531151,495.786165,402.42243,408.235522,429.857531,459.046056,hpNorthAsia
HEL_CA4870AA_AS,149.951421,32.080143,181.388481,287.270732,98.086935,597.289531,96.954963,525.09192,421.788129,414.81962,428.245989,412.998189,hpNorthAsia
GCA_015904565.1,229.768321,26.901779,172.878566,291.844727,121.947941,583.598045,95.511896,521.002317,363.559654,354.550756,383.403403,375.002532,hpNorthAsia
GCA_016755755.1,48.673675,25.138955,146.464171,221.182514,51.274464,604.86183,100.469074,531.218753,425.88204,404.198108,470.191154,467.225622,hpNorthAsia
HEL_AA7365AA_AS,43.399116,21.581006,106.867913,108.777841,45.088649,773.932861,79.745336,893.597785,281.864488,260.681952,279.417542,311.962955,hpSiberia
HEL_CA5146AA_AS,97.792768,40.232093,425.76351,436.187039,268.243162,454.482046,82.244603,589.825069,402.653256,388.38629,327.349607,345.834029,hpSiberia
GCA_016749815.1,105.375567,27.023277,179.594713,291.206268,94.855307,599.707603,111.800885,570.941415,429.197066,388.267526,432.66834,424.931708,hpSiberia
HEL_BA9266AA_AS,89.939836,27.848934,328.480614,415.687544,160.503802,572.943406,72.974267,1139.015408,375.357073,267.106486,215.895694,209.636902,hpSiberia
GCA_016755615.1,173.799747,40.891469,221.029673,386.994492,176.596639,565.294383,102.303747,569.47657,395.045595,375.923368,427.713392,404.258225,hpSiberia
HEL_CA5162AA_AS,92.783136,41.869079,415.136474,431.610459,260.617148,504.650496,75.818345,624.006132,383.23007,371.36659,314.533692,325.449296,hpSiberia
HEL_AA7241AA_AS,57.281459,31.561347,128.863449,182.177344,77.387532,766.377341,321.482515,1010.24366,316.133403,241.794758,232.443153,290.089387,hpSiberia
HEL_CA6210AA_AS,85.665738,40.228434,398.799616,448.278437,253.317457,476.986123,76.223916,590.028318,384.202448,403.601257,320.05953,336.045334,hpSiberia
GCA_002027065.1,1472.862982,59.276582,235.474825,875.023227,517.568265,122.619243,80.734537,175.814597,120.162405,114.687097,154.330691,90.927012,hspAfrica1LatinAmerica
GCA_000274245.1,2076.505215,38.653645,96.654509,341.980307,352.138284,53.268734,59.645639,60.605626,45.732324,47.602587,60.479555,35.405415,hspAfrica1LatinAmerica
GCA_000274225.1,2099.080021,34.728688,72.817773,290.134424,336.521179,44.86676,38.414698,56.307742,42.485163,43.229427,54.333002,33.549329,hspAfrica1LatinAmerica
GCA_000274205.2,2020.762942,46.193746,102.84066,390.561784,398.821285,59.570366,47.253694,68.930625,46.596018,52.925415,66.311531,46.918571,hspAfrica1LatinAmerica
GCA_014497895.1,2083.424373,36.513228,81.480806,292.638748,393.110516,54.457353,41.029617,62.775963,43.989188,42.440397,60.222401,40.732228,hspAfrica1LatinAmerica
GCA_000277425.1,1603.684302,47.860159,154.860365,552.483418,407.277797,174.139972,70.374497,191.834787,158.09289,149.151849,167.373428,146.161004,hspAfrica1LatinAmerica
GCA_014496405.1,2108.947301,43.726901,107.410444,338.824976,406.908046,55.017698,42.90395,65.269809,53.275455,46.161006,56.439748,42.63923,hspAfrica1LatinAmerica
GCA_014496615.1,1326.900124,77.171943,202.997257,917.12511,487.724392,99.19333,69.86671,151.156742,108.625753,98.210173,119.656937,87.735746,hspAfrica1LatinAmerica
GCA_014497095.1,2139.218203,45.667979,61.223943,264.613946,421.658141,35.985452,44.437429,48.149204,44.415886,36.037877,59.367061,31.385231,hspAfrica1LatinAmerica
GCA_000475755.1,1640.436359,474.07995,306.623863,535.179289,473.134578,91.189771,64.590495,140.653235,97.784993,95.479595,109.583439,60.941585,hspAfrica1SAfrica
HEL_BA8323AA_AS,1755.016753,749.922484,96.931851,276.354315,343.020387,46.993291,43.848516,52.972009,38.654707,41.136629,53.012896,39.526055,hspAfrica1SAfrica
HEL_CA5475AA_AS,2115.947516,50.821586,88.624922,307.421038,411.063967,43.310095,49.097074,57.22205,45.712742,52.818313,82.599132,47.501878,hspAfrica1SAfrica
HEL_BA5638AA_AS,1876.880664,175.795282,254.837414,415.207236,452.977931,69.412901,61.276109,95.469894,69.119135,69.254959,101.25887,52.489526,hspAfrica1SAfrica
HEL_BA5670AA_AS,1828.449771,310.558594,54.498955,193.202668,301.139726,32.26002,38.120848,40.729276,30.764321,38.676217,39.89127,30.59395,hspAfrica1SAfrica
HEL_BA5679AA_AS,1790.151742,391.038187,228.886926,370.871321,423.904638,62.134132,55.792788,96.519075,71.152137,70.5315,99.404422,53.64757,hspAfrica1SAfrica
HEL_BA5691AA_AS,1854.375489,266.586484,235.690778,375.446693,439.617262,71.219777,62.527896,99.031302,67.258742,67.392119,94.833913,60.8658,hspAfrica1SAfrica
HEL_BA5720AA_AS,1861.623643,288.544891,241.675761,367.209778,433.800684,61.710405,50.347918,87.475464,63.157012,61.263531,79.875238,57.110484,hspAfrica1SAfrica
HEL_BA8258AA_AS,1744.187415,609.607592,45.477524,197.239711,282.799523,39.091397,34.97001,43.985589,38.651515,37.120039,44.465536,31.012425,hspAfrica1SAfrica
GCA_000475655.1,1677.454927,255.70464,235.418213,442.19513,450.718344,70.545584,73.651905,110.344904,80.634644,88.375792,119.865727,64.217688,hspAfrica1SAfrica
GCA_000344965.2,2205.618234,35.083525,87.919843,249.076046,340.942778,41.800827,42.4899,55.27171,43.477977,39.051428,72.96345,43.039064,hspAfrica1WAfrica
GCA_000344985.2,2153.311345,32.125159,88.223059,314.069825,351.35261,38.037896,42.975767,51.078759,38.294093,42.897942,59.332865,43.741704,hspAfrica1WAfrica
HEL_AA5477AA_AS,2224.365184,43.771806,78.801154,301.713003,334.128914,43.1562,45.429703,48.699029,45.943493,44.293924,61.176277,42.874471,hspAfrica1WAfrica
HEL_AA5489AA_AS,2148.649497,42.637953,71.781305,344.610943,290.333611,40.180428,40.445041,51.324578,43.777689,44.583738,60.660603,43.018858,hspAfrica1WAfrica
HEL_AA5490AA_AS,2190.567712,42.636479,82.175874,317.308118,330.525049,49.695982,55.371829,58.288899,48.319304,48.76451,57.45545,50.101006,hspAfrica1WAfrica
HEL_AA5511AA_AS,2225.834025,50.216934,81.614872,311.961477,341.621226,43.04975,49.39625,56.48659,39.180294,38.046602,58.925354,41.172138,hspAfrica1WAfrica
HEL_CA3965AA_AS,2182.493447,41.653594,66.523866,302.059809,356.317807,40.838514,46.903487,51.002618,36.703841,41.285273,56.301761,37.359417,hspAfrica1WAfrica
HEL_AA5505AA_AS,2178.324007,35.861266,71.446838,284.903439,332.74761,37.510899,54.668674,48.886098,37.348979,37.593724,53.55685,33.852393,hspAfrica1WAfrica
HEL_AA5515AA_AS,2239.307223,43.355618,76.116479,295.973364,381.118426,43.643006,47.31859,44.61268,49.271848,42.703382,57.609088,38.586386,hspAfrica1WAfrica
HEL_AA5540AA_AS,2175.570891,45.273233,75.224111,350.625177,323.531815,44.62052,52.335096,50.891089,41.481027,39.825631,59.739346,39.855616,hspAfrica1WAfrica
HEL_CA3384AA_AS,32.900243,22.663093,243.192801,132.150367,43.981734,256.683546,54.984463,276.198695,896.093455,748.08867,309.662987,312.971977,hspHAEAsiaN
HEL_CA3371AA_AS,26.492728,14.532767,143.343981,103.978335,30.72392,247.53598,47.739798,264.968282,834.072351,772.67095,297.137262,288.456315,hspHAEAsiaN
HEL_CA4120AA_AS,36.998083,17.940774,170.768973,95.451711,38.756284,261.905873,58.376381,270.009748,813.503961,767.527915,298.936806,319.988248,hspHAEAsiaN
HEL_CA4090AA_AS,29.606324,11.258348,128.557197,80.947087,36.243319,250.467439,53.54666,226.242116,876.034236,780.719301,306.762467,331.707905,hspHAEAsiaN
HEL_CA4083AA_AS,26.164898,11.589446,157.509527,91.638702,36.170064,220.61389,43.810789,250.959507,836.350829,790.581271,302.483809,350.736903,hspHAEAsiaN
HEL_CA3369AA_AS,25.563305,15.221175,186.577387,103.863038,32.082707,272.186389,51.468585,307.886424,802.582316,749.186818,348.409714,345.149484,hspHAEAsiaN
HEL_CA4081AA_AS,29.401115,16.01938,176.218342,120.967931,33.575264,263.928053,43.679996,277.652007,899.589259,789.995077,327.217946,299.704208,hspHAEAsiaN
HEL_CA4140AA_AS,36.10931,13.9934,258.622856,162.793887,49.583819,240.452562,52.634625,248.360266,836.162611,743.666211,303.787482,282.138509,hspHAEAsiaN
HEL_CA3367AA_AS,31.274382,11.97776,147.77164,89.087888,30.808169,244.204381,51.137759,228.404379,909.99049,684.200567,301.54768,300.23098,hspHAEAsiaN
HEL_CA3359AA_AS,27.443935,13.110909,163.633436,95.811343,42.505022,222.731891,43.499029,254.504339,816.511201,773.680548,333.108486,314.074198,hspHAEAsiaN
HEL_CA3344AA_AS,28.19194,16.272585,152.364987,107.119952,39.700062,257.219202,46.799543,282.758797,844.480881,773.204973,323.04855,317.2123,hspHAEAsiaN
HEL_CA4074AA_AS,25.128595,14.691554,151.506523,81.592504,32.925825,231.01567,46.555612,223.192845,844.440749,807.948628,313.826253,299.018374,hspHAEAsiaN
HEL_CA4092AA_AS,28.873307,14.731603,181.978341,150.280088,38.303132,297.266357,64.134326,339.254942,814.547588,766.03938,334.945813,333.016899,hspHAEAsiaN
HEL_CA3583AA_AS,29.463181,17.545419,227.132709,162.533119,40.88114,240.362713,57.485957,267.712294,829.765753,741.269895,319.405335,327.12007,hspHAEAsiaN
HEL_CA3341AA_AS,30.518522,16.275115,132.551095,102.419385,47.274244,234.582951,44.494236,279.217603,879.156745,817.031652,311.825202,336.578712,hspHAEAsiaN
HEL_CA3319AA_AS,25.18272,15.824223,152.042941,84.106109,33.784928,235.543498,46.400965,215.004915,879.154769,779.142369,324.715162,332.911415,hspHAEAsiaN
CB89,31.472498,16.514176,160.987692,105.255843,39.96794,259.444321,44.975237,279.289001,862.450152,751.685682,317.005805,327.941641,hspHAEAsiaN
CB9,34.612777,16.966364,244.574198,169.860272,57.739428,318.74311,63.424245,385.279394,804.029985,665.211763,306.182503,327.761388,hspHAEAsiaN
CB90,28.500095,10.167328,139.929273,94.420224,31.375005,241.066601,32.02289,242.345184,902.787016,815.091601,318.450653,299.601566,hspHAEAsiaN
HEL_AA5929AA_AS,38.8488,17.234887,235.35931,122.959969,55.88775,284.228366,54.099272,334.111316,812.060679,771.758035,342.406282,306.164786,hspHAEAsiaN
HEL_AA5930AA_AS,51.88349,22.23959,314.794863,253.516839,90.097469,437.886433,77.875401,566.389225,716.93031,504.249842,312.385594,314.354581,hspHAEAsiaN
HEL_AA5953AA_AS,53.948048,24.737534,556.051565,219.15686,76.284582,338.138398,78.873653,401.884899,713.75866,650.689317,286.404808,294.964761,hspHAEAsiaN
HEL_AA6040AA_AS,43.042167,19.03096,476.155214,186.945726,60.766202,288.674405,75.638269,368.756326,722.406687,611.765729,289.46556,312.349364,hspHAEAsiaN
HEL_AA6046AA_AS,39.117122,21.62518,312.736893,137.449099,55.515506,294.146447,57.31531,357.840547,826.778091,668.351331,346.539942,346.653697,hspHAEAsiaN
HEL_AA7273AA_AS,42.009338,17.564946,365.774895,186.719599,60.405648,311.696307,56.628042,397.870458,729.79903,625.828667,341.461954,307.557862,hspHAEAsiaN
HEL_BA4732AA_AS,26.694557,18.45611,136.440581,104.466514,46.296359,254.453157,49.501557,244.617571,840.78541,812.157121,293.816601,337.543154,hspHAEAsiaN
HEL_BA9666AA_AS,41.057387,16.793476,357.827096,168.113124,62.073404,318.923746,52.416524,387.917536,730.297831,632.803838,344.97079,308.030376,hspHAEAsiaN
HEL_CA3390AA_AS,31.204841,15.761036,159.964421,141.104211,47.431694,261.102237,42.978386,223.668038,808.311355,772.127048,330.917305,291.58299,hspHAEAsiaN
HEL_CA0322AA_AS,31.721973,17.912751,168.888482,116.090274,43.184384,273.740563,55.860123,330.195693,752.823734,700.247994,418.381137,392.071874,hspHAEAsiaN
HEL_CA3274AA_AS,35.91874,15.655987,194.972601,111.365244,48.936643,277.402958,51.945504,275.446488,820.706226,755.999215,325.63514,303.057202,hspHAEAsiaN
HEL_CA3277AA_AS,28.532647,16.695542,168.791193,108.164955,49.55252,224.533023,45.262171,262.306756,839.365297,827.157796,302.199508,294.843309,hspHAEAsiaN
HEL_CA3291AA_AS,34.935941,17.758694,145.560484,99.93919,44.858711,247.336197,45.002438,238.399644,850.097526,827.453132,293.297387,277.98356,hspHAEAsiaN
HEL_CA3292AA_AS,31.570026,16.50493,202.986195,155.277618,47.130788,268.471682,53.75058,300.49683,819.967271,754.334861,298.015994,310.668541,hspHAEAsiaN
HEL_CA4070AA_AS,29.161342,16.265706,186.638588,127.870875,48.879547,250.006624,46.014551,247.028081,900.672936,775.390841,280.799418,294.514768,hspHAEAsiaN
HEL_CA3385AA_AS,24.05452,16.651817,159.189088,110.608441,41.620396,260.149967,42.388639,242.043155,845.033209,807.062534,293.121943,324.152521,hspHAEAsiaN
HEL_CA4067AA_AS,22.621554,13.758614,134.770152,77.559851,36.379439,250.467904,42.214815,214.673366,853.040238,812.034884,306.293432,318.754313,hspHAEAsiaN
HEL_CA4057AA_AS,31.965649,22.396738,202.15976,130.034938,53.32364,238.280877,58.886707,274.711251,804.041221,789.553566,324.821366,324.228965,hspHAEAsiaN
HEL_CA3487AA_AS,36.925371,14.457011,156.560922,99.820686,38.535904,263.703639,38.523004,226.574253,905.937651,816.32398,287.190842,323.460077,hspHAEAsiaN
HEL_CA3491AA_AS,21.896884,11.171672,206.726401,85.207979,29.354874,236.119143,53.605718,255.097953,876.243687,778.295849,275.021838,310.650149,hspHAEAsiaN
HEL_CA3493AA_AS,24.520958,13.857264,149.394633,100.186224,34.817656,275.399733,47.863066,262.91496,877.047805,722.997616,341.240569,336.040156,hspHAEAsiaN
HEL_CA3494AA_AS,25.500876,12.552196,173.462045,85.45821,43.082499,239.530913,44.542875,245.874977,825.756864,775.520567,318.590808,332.315473,hspHAEAsiaN
HEL_CA3497AA_AS,24.626011,20.893187,176.909997,155.93649,47.145578,292.473114,50.442571,328.550617,762.828525,717.243578,337.367239,350.217445,hspHAEAsiaN
HEL_CA3506AA_AS,29.204423,23.174396,132.341562,156.052023,49.525902,230.454943,57.050888,245.989347,856.517517,786.694128,305.80578,321.822389,hspHAEAsiaN
HEL_CA3523AA_AS,22.687663,12.171898,144.261737,81.247733,34.625598,232.769149,50.214053,189.891072,885.159079,783.780182,303.348778,318.08919,hspHAEAsiaN
HEL_CA3530AA_AS,29.036901,14.990818,159.562593,81.828245,41.034131,244.101805,39.352313,210.047743,863.749611,809.623465,329.314559,302.604493,hspHAEAsiaN
HEL_CA3537AA_AS,24.565384,15.886292,167.112326,121.141853,44.651839,263.504244,42.93323,249.268584,860.870035,750.930719,327.025856,323.986978,hspHAEAsiaN
HEL_CA3539AA_AS,23.30295,20.12561,163.417966,105.651433,35.726748,244.775444,50.494119,292.018749,864.168664,797.463038,298.479163,326.753436,hspHAEAsiaN
HEL_CA3545AA_AS,25.602622,9.771349,146.016051,90.003822,35.097389,235.498599,38.770763,232.938147,864.705743,782.553526,308.257527,354.205915,hspHAEAsiaN
HEL_CA3547AA_AS,23.492864,15.547299,172.155576,99.927967,47.661754,258.435345,40.349894,253.018225,847.860164,803.682671,302.763568,320.452318,hspHAEAsiaN
HEL_CA3548AA_AS,24.326717,14.045701,136.218637,80.74182,31.363034,237.536007,50.79874,237.082552,871.734229,801.634821,314.860191,310.48209,hspHAEAsiaN
HEL_CA3552AA_AS,29.181763,11.805136,175.748376,121.127949,40.620614,333.28642,51.465173,354.013757,842.907753,727.708595,375.704299,358.926896,hspHAEAsiaN
HEL_CA3555AA_AS,28.793935,17.231861,171.412037,97.944833,41.46251,249.747137,42.00261,264.943381,866.825907,796.607511,311.164902,343.431521,hspHAEAsiaN
HEL_CA3560AA_AS,28.870898,15.311299,140.259824,87.878796,37.190904,233.808807,43.79315,248.974736,881.546656,831.641678,291.712615,302.915071,hspHAEAsiaN
HEL_CA3566AA_AS,32.654244,18.556371,184.967791,117.956338,44.140861,362.010765,65.150093,348.680507,742.281339,675.98241,381.639656,399.516983,hspHAEAsiaN
HEL_CA3483AA_AS,25.654386,17.62882,147.113568,94.208547,37.618156,250.90753,53.604507,261.120155,829.120081,809.531854,296.491868,320.097288,hspHAEAsiaN
HEL_CA3481AA_AS,27.919573,19.401969,155.51733,104.643251,39.043964,300.862954,46.424304,289.684804,871.357,743.655968,349.114028,342.559871,hspHAEAsiaN
HEL_CA3478AA_AS,22.206918,14.860978,136.105253,87.940352,30.130509,234.649765,40.585712,231.230698,872.48705,807.312857,305.289945,325.778675,hspHAEAsiaN
HEL_CA3476AA_AS,36.213011,16.578093,171.981011,119.245601,68.280686,252.157941,52.538179,233.280774,873.849797,760.309009,351.769797,292.696014,hspHAEAsiaN
HEL_CA4054AA_AS,37.910774,20.050569,183.769626,115.320974,47.147705,252.887265,49.735694,256.186245,852.943809,771.515926,348.614051,341.426953,hspHAEAsiaN
HEL_CA4042AA_AS,33.428529,13.221919,177.776407,108.517537,42.095319,266.560511,44.53666,245.15044,885.033396,814.788519,274.839453,301.552228,hspHAEAsiaN
HEL_CA3408AA_AS,27.037089,13.539571,136.534404,95.992402,35.00287,235.629659,50.259085,230.956439,907.106806,771.153508,283.156164,308.548075,hspHAEAsiaN
HEL_CA4032AA_AS,31.791526,19.505707,181.806373,136.444427,48.131322,323.658035,57.993745,341.915581,808.819937,669.093049,341.889541,388.6367,hspHAEAsiaN
HEL_CA4026AA_AS,32.346728,18.249642,182.688803,117.648727,46.406652,248.85922,52.201722,290.759889,897.532666,716.9916,346.900646,319.504993,hspHAEAsiaN
HEL_CA4025AA_AS,28.629704,18.301026,163.19331,105.87162,36.307878,252.117553,52.620954,287.257661,880.254175,805.277585,314.986207,318.462245,hspHAEAsiaN
HEL_CA3415AA_AS,29.080216,12.851351,180.601224,106.337924,41.935287,258.024823,47.216674,234.818105,838.660334,768.906505,281.852661,316.351767,hspHAEAsiaN
HEL_CA3436AA_AS,32.789194,18.449666,176.39404,129.227674,49.117709,263.069651,50.796717,288.869416,893.775681,726.909719,357.98542,312.878836,hspHAEAsiaN
HEL_CA4011AA_AS,24.556289,14.448717,163.701993,91.511665,39.843953,245.235539,49.240245,252.448211,842.743177,808.314959,304.741896,334.969577,hspHAEAsiaN
HEL_CA3437AA_AS,27.762437,15.42179,192.472852,104.109188,37.330642,261.154864,47.201943,302.958825,826.961454,747.977185,294.635211,331.533884,hspHAEAsiaN
HEL_CA3448AA_AS,26.577616,12.434509,129.188966,78.390314,29.955001,233.492187,51.495453,227.847583,878.026561,781.221409,322.589359,317.409476,hspHAEAsiaN
HEL_CA3455AA_AS,22.749986,13.323701,142.53705,105.433634,43.691187,231.946473,42.172116,247.576699,849.946505,799.954344,298.069855,293.577029,hspHAEAsiaN
HEL_CA3456AA_AS,23.846501,15.851802,154.892697,71.648728,35.688078,239.754481,50.753359,239.194588,884.957496,781.544256,328.497136,305.740715,hspHAEAsiaN
HEL_CA3460AA_AS,24.049513,15.994199,166.892535,80.779174,36.558201,227.334528,43.716397,211.192746,849.417257,802.491783,321.522313,299.406739,hspHAEAsiaN
HEL_CA3465AA_AS,30.460621,16.091049,131.611347,98.822296,37.848525,233.029303,48.549082,262.573555,872.311139,782.896101,310.584637,338.940218,hspHAEAsiaN
HEL_CA3466AA_AS,33.643161,16.729417,142.157899,157.532918,45.186995,251.617015,54.704812,269.185301,832.603656,782.143541,333.239632,295.506124,hspHAEAsiaN
HEL_CA3474AA_AS,22.236931,13.156618,176.315424,105.9402,41.836703,271.21307,43.041144,247.766307,846.530301,789.091707,297.345135,332.423079,hspHAEAsiaN
HEL_CA3475AA_AS,27.126935,12.32829,157.100853,100.042394,33.874007,243.008238,41.374376,250.942576,818.315506,792.789013,330.201399,331.924917,hspHAEAsiaN
CB88,32.758094,14.25677,141.300598,88.404514,36.216671,245.170624,47.800266,257.536651,836.073779,809.535618,315.175772,305.587656,hspHAEAsiaN
CB87,37.511062,21.468156,273.141125,156.323935,73.001126,396.64638,63.201364,480.172632,801.639889,564.161436,322.445985,372.945642,hspHAEAsiaN
CB73,29.196815,13.873075,150.569491,87.804807,47.076036,253.589205,41.04222,255.520109,882.584486,746.379408,319.34518,335.272985,hspHAEAsiaN
CB85,26.693409,13.582676,134.546217,103.351532,37.398941,277.658082,48.891665,285.263502,865.748242,718.699593,322.58357,391.250484,hspHAEAsiaN
CB23,28.239233,15.947893,188.800002,124.395378,46.81234,301.601646,50.88642,323.740457,798.88915,692.420659,343.827533,352.138591,hspHAEAsiaN
CB24,23.967032,14.388325,146.853331,96.50303,42.671976,248.954062,52.780699,263.182031,918.414883,690.361079,313.917579,333.046679,hspHAEAsiaN
CB25,31.468543,14.374014,162.328182,103.604605,39.955911,324.3383,49.037597,307.817546,823.715182,676.697761,367.034585,380.973414,hspHAEAsiaN
CB27,42.101987,21.026298,503.698019,213.321692,62.18247,296.478318,63.813756,425.658038,707.099443,658.579872,297.232752,313.888936,hspHAEAsiaN
CB28,24.262847,17.709254,196.307884,130.106898,43.241888,339.889544,53.399926,413.692521,796.332912,676.988417,336.090597,367.699125,hspHAEAsiaN
CB29,29.947054,16.569948,186.604362,116.915363,35.01038,309.119067,60.251485,327.076237,802.419273,634.789511,363.74058,373.900825,hspHAEAsiaN
CB3,32.161335,22.588004,209.25132,120.72999,50.37837,300.30583,54.701999,341.767023,847.298231,691.358316,351.097447,339.377793,hspHAEAsiaN
CB22,28.423077,13.18055,147.010423,88.922046,40.158039,261.303355,55.055273,258.706113,888.627544,765.486274,279.294066,329.676403,hspHAEAsiaN
CB30,31.820356,15.282544,158.969772,130.547951,42.693319,317.059536,46.776374,343.16599,813.204048,632.166166,386.703053,385.515039,hspHAEAsiaN
CB33,35.228863,15.838585,192.648591,138.635778,35.240504,342.559662,54.303141,400.975591,782.616236,655.830682,352.135145,383.059545,hspHAEAsiaN
CB34,26.131506,16.270702,140.978839,116.801168,46.948765,286.596455,49.884435,325.424481,870.157891,717.437008,323.783731,353.632559,hspHAEAsiaN
CB36,33.409344,18.883211,151.840407,91.548442,41.388972,266.342201,49.356075,258.659559,914.344298,732.770047,313.936431,319.43861,hspHAEAsiaN
CB37,24.42052,16.107386,145.208067,93.908735,34.23328,245.62792,45.836451,262.840165,852.419611,806.787162,308.049878,303.096689,hspHAEAsiaN
CB38,25.092786,13.85969,166.503333,89.595866,37.678221,255.22748,41.982096,249.920632,832.149748,789.859948,341.273298,333.233509,hspHAEAsiaN
CB39,29.398931,12.810166,159.147624,86.452305,35.40915,256.373223,47.337644,232.092796,883.636758,792.994374,301.893065,280.604411,hspHAEAsiaN
CB41,52.691888,20.539248,613.952954,250.505369,76.524547,292.461384,81.173155,438.450414,761.841968,575.657988,280.233282,299.510404,hspHAEAsiaN
